10.128.4.251   : 00001010100000000000010011111011
0.127.248.0    : 00000000011111111111100000000000
Mask Values: [2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152, 4194304]
Total masks:4096
00001010100000000000010011111011 + 00000000000000000000000000000000 = 00001010100000000000010011111011 ->  10.128.4.251
00001010100000000000010011111011 + 00000000000000000000100000000000 = 00001010100000000000110011111011 ->  10.128.12.251
00001010100000000000010011111011 + 00000000000000000001000000000000 = 00001010100000000001010011111011 ->  10.128.20.251
00001010100000000000010011111011 + 00000000000000000001100000000000 = 00001010100000000001110011111011 ->  10.128.28.251
00001010100000000000010011111011 + 00000000000000000010000000000000 = 00001010100000000010010011111011 ->  10.128.36.251
00001010100000000000010011111011 + 00000000000000000010100000000000 = 00001010100000000010110011111011 ->  10.128.44.251
00001010100000000000010011111011 + 00000000000000000011000000000000 = 00001010100000000011010011111011 ->  10.128.52.251
00001010100000000000010011111011 + 00000000000000000011100000000000 = 00001010100000000011110011111011 ->  10.128.60.251
00001010100000000000010011111011 + 00000000000000000100000000000000 = 00001010100000000100010011111011 ->  10.128.68.251
00001010100000000000010011111011 + 00000000000000000100100000000000 = 00001010100000000100110011111011 ->  10.128.76.251
00001010100000000000010011111011 + 00000000000000000101000000000000 = 00001010100000000101010011111011 ->  10.128.84.251
00001010100000000000010011111011 + 00000000000000000101100000000000 = 00001010100000000101110011111011 ->  10.128.92.251
00001010100000000000010011111011 + 00000000000000000110000000000000 = 00001010100000000110010011111011 ->  10.128.100.251
00001010100000000000010011111011 + 00000000000000000110100000000000 = 00001010100000000110110011111011 ->  10.128.108.251
00001010100000000000010011111011 + 00000000000000000111000000000000 = 00001010100000000111010011111011 ->  10.128.116.251
00001010100000000000010011111011 + 00000000000000000111100000000000 = 00001010100000000111110011111011 ->  10.128.124.251
00001010100000000000010011111011 + 00000000000000001000000000000000 = 00001010100000001000010011111011 ->  10.128.132.251
00001010100000000000010011111011 + 00000000000000001000100000000000 = 00001010100000001000110011111011 ->  10.128.140.251
00001010100000000000010011111011 + 00000000000000001001000000000000 = 00001010100000001001010011111011 ->  10.128.148.251
00001010100000000000010011111011 + 00000000000000001001100000000000 = 00001010100000001001110011111011 ->  10.128.156.251
00001010100000000000010011111011 + 00000000000000001010000000000000 = 00001010100000001010010011111011 ->  10.128.164.251
00001010100000000000010011111011 + 00000000000000001010100000000000 = 00001010100000001010110011111011 ->  10.128.172.251
00001010100000000000010011111011 + 00000000000000001011000000000000 = 00001010100000001011010011111011 ->  10.128.180.251
00001010100000000000010011111011 + 00000000000000001011100000000000 = 00001010100000001011110011111011 ->  10.128.188.251
00001010100000000000010011111011 + 00000000000000001100000000000000 = 00001010100000001100010011111011 ->  10.128.196.251
00001010100000000000010011111011 + 00000000000000001100100000000000 = 00001010100000001100110011111011 ->  10.128.204.251
00001010100000000000010011111011 + 00000000000000001101000000000000 = 00001010100000001101010011111011 ->  10.128.212.251
00001010100000000000010011111011 + 00000000000000001101100000000000 = 00001010100000001101110011111011 ->  10.128.220.251
